geolocation_zip_code_prefix,lat,long
2419,-23.47714278027944,-46.64024761939409
2420,-23.47531698908683,-46.635694538487506
2421,-23.4737367871431,-46.63294450035369
2422,-23.471961185009473,-46.63678187458331
2423,-23.46837413397665,-46.63360503481104
2430,-23.48175879657658,-46.6453437678414
2431,-23.48711189572618,-46.63609053926681
2432,-23.474955768322005,-46.623231957810084
2433,-23.481756677702297,-46.63648940590774
2434,-23.483166052836705,-46.6392247122947
2435,-23.480341707949417,-46.64083660366867
2436,-23.478931598209673,-46.635603148421716
2440,-23.477826178650208,-46.6479924907202
2441,-23.473153622588928,-46.64173830076601
2442,-23.47324938347029,-46.64404196774298
2443,-23.473077718571748,-46.647424729586426
2450,-23.498136783545874,-46.637831423682286
2451,-23.49888006687659,-46.64240445949088
2452,-23.50067983849723,-46.64385807574441
2460,-23.490602642574615,-46.63773408602339
2461,-23.492252542030364,-46.63875313832298
2462,-23.492219837469662,-46.641300243227235
2463,-23.488488792858018,-46.64548956958338
2464,-23.488271115654932,-46.651427959553416
2465,-23.485426350159422,-46.65455475842179
2466,-23.49538322693291,-46.64246651063431
2467,-23.491337836932775,-46.646134070784846
2468,-23.48855504921596,-46.64889960189291
2469,-23.485412369554876,-46.64522385737866
2470,-23.48510939476225,-46.64947633028715
2471,-23.4818250737818,-46.65268966250179
2472,-23.476873028425395,-46.65532810386887
2473,-23.477673429636027,-46.651766001042276
2474,-23.476815272686895,-46.65568629763224
2475,-23.479309217785932,-46.643889647073124
2478,-23.47760159521291,-46.66042742344092
2479,-23.475056567345774,-46.656572546973855
2501,-23.514912288431223,-46.66118358067858
2508,-23.509848068295792,-46.66369014308379
2510,-23.51284132591708,-46.65172964892011
2511,-23.510100900894653,-46.651257724111886
2512,-23.51356992131287,-46.65974501947686
2513,-23.539724139088854,-46.671935935888456
2514,-23.51020643415772,-46.654927328884355
2515,-23.510293125025857,-46.657706265611736
2516,-23.509474267182835,-46.659246826387296
2517,-23.507213085534975,-46.664226597412096
2518,-23.5097066540014,-46.66664281019703
2519,-23.50233698916427,-46.65598040574327
2520,-23.50294179556307,-46.655409591709066
2521,-23.503781552201758,-46.66486501201647
2522,-23.504286106935773,-46.65901599997378
2523,-23.505862091157532,-46.65571070269907
2524,-23.502693285651212,-46.65032471716201
2525,-23.50217383069566,-46.65740849857897
2526,-23.503503878044306,-46.64653258626354
2530,-23.50083477010858,-46.66004504643481
2531,-23.501200541547462,-46.65303504701175
2532,-23.49964597782017,-46.65563734024371
2533,-23.497602748726415,-46.654975790786764
2534,-23.49668910222738,-46.65332643480095
